Token,Frecuencia,Porcentaje
hospital,2,0.19
jurisdiccion,2,0.19
liviana,2,0.19
nicolas,2,0.19
ayllon,2,0.19
producto,2,0.19
sobrecarga,2,0.19
mal,2,0.19
distribuida,2,0.19
logro,2,0.19
salir,2,0.19
propios,2,0.19
medios,2,0.19
derrame,2,0.19
combustible,2,0.19
controlado,2,0.19
bomberos,2,0.19
base,1,0.09
metropolitana,1,0.09
sintetico,1,0.09
anonimizados,1,0.09
ficticios,1,0.09
nota,1,0.09
metodologica,1,0.09
presente,1,0.09
constituye,1,0.09
generado,1,0.09
unicamente,1,0.09
fines,1,0.09
academicos,1,0.09
validar,1,0.09
registros,1,0.09
aqui,1,0.09
contenidos,1,0.09
sinteticos,1,0.09
corresponden,1,0.09
reales,1,0.09
cualquier,1,0.09
coincidencia,1,0.09
existentes,1,0.09
puramente,1,0.09
casual,1,0.09
informacion,1,0.09
formatos,1,0.09
complementarios,1,0.09
primero,1,0.09
campos,1,0.09
categoricos,1,0.09
fechas,1,0.09
ejercicios,1,0.09
extraccion,1,0.09
estructurada,1,0.09
segundo,1,0.09
consiste,1,0.09
parrafos,1,0.09
espanol,1,0.09
adecuados,1,0.09
tareas,1,0.09
tokenizacion,1,0.09
remocion,1,0.09
palabras,1,0.09
vacias,1,0.09
lematizacion,1,0.09
analisis,1,0.09
frecuencias,1,0.09
analizado,1,0.09
observo,1,0.09
concentracion,1,0.09
distritos,1,0.09
particularmente,1,0.09
corredores,1,0.09
alto,1,0.09
flujo,1,0.09
atardecer,1,0.09
concentraron,1,0.09
cantidad,1,0.09
eventos,1,0.09
factores,1,0.09
contribuyentes,1,0.09
frecuencia,1,0.09
figuran,1,0.09
exceso,1,0.09
falta,1,0.09
adecuada,1,0.09
maniobras,1,0.09
imprudentes,1,0.09
cambios,1,0.09
asimismo,1,0.09
numero,1,0.09
considerable,1,0.09
vinculados,1,0.09
paraderos,1,0.09
informales,1,0.09
cruce,1,0.09
peatones,1,0.09
zonas,1,0.09
habilitadas,1,0.09
tal,1,0.09
fin,1,0.09
recomendaciones,1,0.09
preliminares,1,0.09
apuntan,1,0.09
reforzamiento,1,0.09
fiscalizacion,1,0.09
puntos,1,0.09
criticos,1,0.09
mejora,1,0.09
infraestructura,1,0.09
ejecucion,1,0.09
campanas,1,0.09
educacion,1,0.09
vial,1,0.09
dirigidas,1,0.09
usuarios,1,0.09
publica,1,0.09
sugiere,1,0.09
ademas,1,0.09
ampliar,1,0.09
cobertura,1,0.09
camaras,1,0.09
videovigilancia,1,0.09
fichas,1,0.09
descriptivas,1,0.09
seccion,1,0.09
replica,1,0.09
contenido,1,0.09
formato,1,0.09
prosa,1,0.09
continua,1,0.09
evaluar,1,0.09
extractores,1,0.09
dependen,1,0.09
